staff_id,staff_name,position,department,start_date,email
S0125,Monique Carter,Technician,Service,2022-03-26,hilljoseph@example.com
S0126,Whitney Thomas,Manager,Service,2022-06-17,efox@example.org
S0127,Tracy Zimmerman,Clerk,Sales,2020-06-03,jgray@example.org
S0128,Cassandra Flowers,Clerk,Management,2022-05-10,weavermatthew@example.com
S0129,Amanda Mueller,Technician,Service,2019-04-24,mcaldwell@example.com
S0130,Steven Wood,Clerk,Administration,2021-12-12,stephaniestewart@example.com
S0131,Mark Lee,Salesperson,Administration,2022-12-04,stephanie92@example.org
S0132,Matthew Harris,Technician,Management,2022-08-22,pmartinez@example.net
S0133,Deborah Harrison,Technician,Management,2023-12-14,briansmith@example.com
S0134,Mary Dillon,Manager,Service,2019-06-10,dkim@example.org
S0135,Nancy Ballard,Clerk,Sales,2021-12-10,mariamahoney@example.net
S0136,James Thompson,Technician,Service,2019-12-21,lindsey77@example.org
S0137,Adrian Evans,Salesperson,Management,2021-04-09,tmeyer@example.org
S0138,Colleen Miranda MD,Manager,Management,2023-03-25,stephanie95@example.net
S0139,Kyle Anderson,Salesperson,Service,2020-05-07,christopher08@example.com
S0140,April Castro,Salesperson,Sales,2023-07-07,rasmussenrachel@example.net
S0141,Christopher Boyd,Manager,Administration,2022-08-11,tiffany03@example.com
S0142,Carrie Herrera,Clerk,Management,2023-03-16,brenda17@example.net
S0143,Yolanda Golden,Salesperson,Management,2022-10-27,vlawrence@example.net
S0144,Glenn Welch,Salesperson,Service,2020-04-09,mrobinson@example.net
S0145,Joshua Matthews,Manager,Sales,2019-08-28,iking@example.org
S0146,Debra Wells,Clerk,Service,2020-06-01,knightbriana@example.com
S0147,Dawn Salazar,Clerk,Service,2021-06-28,jeffrey66@example.org
S0148,Michael Harrell,Clerk,Service,2023-01-17,erica41@example.net
S0149,Nicolas Carter,Manager,Service,2019-08-29,kurtphillips@example.org
S0150,Christopher Manning,Manager,Service,2023-09-24,hchurch@example.com
S0151,Alejandro White,Salesperson,Management,2021-08-22,justin82@example.com
S0152,Hannah Sellers,Salesperson,Service,2021-08-31,singhjade@example.com
S0153,Raymond Lewis,Clerk,Management,2023-04-04,johnsonjacob@example.org
S0154,Heather Drake,Salesperson,Sales,2022-04-25,yharris@example.com
S0155,Peter Sanders,Salesperson,Administration,2021-02-03,jbell@example.com
S0156,Jennifer Dalton,Clerk,Management,2022-01-20,roblesglen@example.com
S0157,Jack Lopez,Salesperson,Administration,2023-11-07,keith42@example.net
S0158,Melissa Pratt,Manager,Administration,2023-05-27,belinda97@example.org
S0159,Manuel Lopez,Clerk,Administration,2020-12-05,kramermichael@example.net
S0160,Michelle Rivera,Technician,Management,2020-11-21,mgutierrez@example.org
S0161,Thomas Davis,Manager,Sales,2021-02-19,qharris@example.com
S0162,Jacqueline Anderson,Manager,Management,2020-08-24,valenciacraig@example.org
S0163,Faith Lawrence,Clerk,Administration,2023-05-01,shawnagonzales@example.com
S0164,Charles Bond,Salesperson,Service,2022-11-16,stokessara@example.com
S0165,Samuel Vega,Technician,Service,2020-06-07,aliciajohnson@example.com
S0166,Karen Gibson,Clerk,Management,2023-07-19,zboyd@example.com
S0167,Jessica Johnson,Technician,Management,2022-03-24,hayesmary@example.org
S0168,Cheryl Mays,Clerk,Service,2020-05-20,ksimpson@example.org
S0169,David Banks,Manager,Service,2022-07-28,carl33@example.net
S0170,Breanna Henry,Manager,Administration,2020-06-10,hharvey@example.org
S0171,Diane Soto,Manager,Sales,2022-12-06,andersonrachel@example.com
S0172,Larry Dickerson,Clerk,Service,2022-10-13,brownvictoria@example.com
S0173,Sheri Nielsen,Manager,Service,2022-01-01,natalie72@example.net
S0174,Anthony Hensley,Salesperson,Service,2022-05-07,rodriguezjohn@example.com
S0175,Marcus Adams,Clerk,Administration,2022-08-21,dpierce@example.net
S0176,Amy Garcia,Salesperson,Service,2022-10-08,laurenmorgan@example.org
S0177,Meghan Faulkner,Salesperson,Management,2021-11-04,charles38@example.net
S0178,James Howell,Salesperson,Service,2024-01-19,pholt@example.net
S0179,Kristen Cantu,Technician,Administration,2020-12-21,petercohen@example.net
S0180,Seth Miller,Clerk,Service,2019-06-13,patricia17@example.org
S0181,Danielle Williams,Salesperson,Service,2021-06-24,ehernandez@example.net
S0182,Michelle Henry,Technician,Administration,2020-04-23,tiffanyhouston@example.org
S0183,Richard Chandler,Clerk,Administration,2019-10-13,briggsalexander@example.com
S0184,Janet Wright,Manager,Sales,2023-01-02,jennifer91@example.org
S0185,Edward Sullivan,Technician,Sales,2022-11-24,tarajohnson@example.net
S0186,Leslie Fuller,Manager,Sales,2021-03-24,angel84@example.net
S0187,Stephanie Nichols,Manager,Administration,2022-04-01,brianharper@example.com
S0188,Donna Powers,Clerk,Service,2021-12-24,pstokes@example.org
S0189,Jenna Murray,Clerk,Service,2021-03-16,eyork@example.org
S0190,Abigail Gallagher,Salesperson,Administration,2019-06-27,timothygutierrez@example.net
S0191,Ann Stafford,Manager,Administration,2023-12-10,laurenpeters@example.org
S0192,Anthony Flores,Salesperson,Administration,2020-06-09,masonjill@example.org
S0193,Edward Peterson,Technician,Management,2019-07-15,vanessamoore@example.net
S0194,Mark Black,Manager,Service,2022-07-07,xshelton@example.net
S0195,Joseph Smith,Technician,Administration,2023-02-08,martinezkimberly@example.net
S0196,Toni Bates,Technician,Service,2020-02-29,mcdanielrichard@example.org
S0197,Laura Ruiz,Clerk,Sales,2022-05-23,qmurillo@example.org
S0198,Brittany Harvey,Technician,Sales,2023-12-04,daniel66@example.com
S0199,Charles Ruiz,Manager,Administration,2019-09-09,jimmyfrancis@example.net
S0200,Kelsey Evans,Technician,Administration,2022-07-24,coopertiffany@example.org
S0201,Austin Larson,Salesperson,Management,2021-02-22,millerstephanie@example.net
S0202,Stacey Garcia,Manager,Sales,2023-07-08,charles05@example.net
S0203,Bryan Duncan,Manager,Service,2024-02-24,daniel58@example.net
S0204,Robin Howard,Manager,Management,2021-10-28,lhenry@example.net
S0205,Robert Buckley,Clerk,Management,2019-06-29,samuel85@example.net
S0206,Joe Rowe,Clerk,Administration,2019-09-19,davidrichardson@example.com
S0207,Richard Robinson,Salesperson,Management,2022-03-21,raymondbridges@example.com
S0208,Stephanie Livingston,Technician,Service,2023-08-20,boydjohn@example.com
S0209,Joseph Smith,Technician,Sales,2019-06-30,xbuckley@example.net
S0210,Nicholas Griffith,Technician,Sales,2022-02-24,eroberson@example.com
S0211,Amy Johnson,Salesperson,Service,2019-08-30,lauradiaz@example.net
S0212,Melanie Cooper,Clerk,Administration,2022-07-22,haley15@example.net
S0213,Misty Lee,Technician,Service,2022-04-29,erica11@example.net
S0214,Thomas Hall,Salesperson,Service,2022-12-10,leslie57@example.com
S0215,Melissa Rivera,Technician,Management,2021-05-01,ashleyjones@example.net
S0216,Katherine Acosta,Salesperson,Management,2021-08-07,kirkdonald@example.com
S0217,Brittney Hernandez,Technician,Service,2020-01-05,qoneal@example.org
S0218,Brian Johnston,Manager,Service,2020-02-25,aprilsolis@example.org
S0219,Jared Myers,Clerk,Administration,2020-11-26,jennifergonzalez@example.net
S0220,Shawn Robinson,Salesperson,Administration,2023-03-23,carrolljordan@example.org
S0221,Taylor Williams,Manager,Service,2019-10-14,dunnandrew@example.com
S0222,Michael Thompson,Salesperson,Service,2019-09-14,georgeochoa@example.net
S0223,Timothy Cabrera,Technician,Service,2022-11-17,brendalee@example.net
S0224,Karen Reid,Technician,Service,2020-09-10,robertortega@example.org
S0225,Melissa Kidd,Manager,Service,2023-07-26,victoriaschroeder@example.net
S0226,Allen Anderson,Salesperson,Service,2023-02-01,dpowers@example.org
S0227,Elizabeth Smith,Salesperson,Administration,2020-06-30,douglasjennifer@example.com
S0228,David Archer,Manager,Sales,2019-07-12,sharon48@example.net
S0229,Tiffany Johnson,Technician,Administration,2021-08-27,ginagates@example.com
S0230,Robert Brown,Technician,Administration,2021-05-06,angela20@example.org
S0231,Shelia Lewis,Technician,Sales,2021-12-09,katelyn55@example.com
S0232,Steve White,Clerk,Sales,2019-06-13,stoneaustin@example.com
S0233,Deanna Arroyo,Manager,Sales,2022-05-12,lisafrancis@example.net
S0234,Gina Steele,Salesperson,Service,2023-06-20,david45@example.org
S0235,Jerome Moore,Technician,Management,2022-09-11,vrussell@example.com
S0236,Shawn Wright,Clerk,Sales,2019-06-28,shari49@example.org
S0237,Elizabeth Wilson,Technician,Administration,2022-08-25,suarezlaura@example.net
S0238,Gina Miller,Salesperson,Management,2020-08-23,carolinereyes@example.org
S0239,Michelle Campos,Manager,Administration,2023-03-04,vfrench@example.com
S0240,Joseph Roberts,Technician,Service,2023-07-13,laurenlucas@example.com
S0241,Erin Dixon,Technician,Management,2019-11-20,trogers@example.net
S0242,Michael Arnold,Clerk,Administration,2022-07-14,mwalker@example.com
S0243,Edwin Lee,Technician,Management,2021-08-30,kelly64@example.com
S0244,Troy Williams,Salesperson,Sales,2023-08-02,belinda31@example.org
S0245,James Bates,Technician,Administration,2024-01-03,bruce73@example.net
S0246,David Rogers,Technician,Management,2021-07-26,bjohnson@example.org
S0247,Kevin Bailey,Manager,Administration,2022-09-09,mikecohen@example.com
S0248,Sierra Mccall,Manager,Administration,2019-10-26,wburns@example.com
S0249,Melanie Henderson,Manager,Management,2023-01-17,bethhill@example.net
S0250,Jeffery Gonzalez,Manager,Service,2019-10-24,thomas41@example.org
S0251,Angela Howard,Technician,Management,2019-04-13,allenstephanie@example.net
S0252,Samantha Ortiz,Manager,Management,2020-07-17,suzanneacevedo@example.org
S0253,Gabriel Davis,Clerk,Administration,2020-01-02,igarcia@example.com
S0254,Brandi Aguilar,Clerk,Sales,2019-08-08,lambertlisa@example.net
S0255,Jessica May,Clerk,Service,2021-04-26,sgonzalez@example.net
S0256,Taylor Copeland,Technician,Administration,2023-02-01,jacob43@example.com
S0257,Wendy Beck,Salesperson,Sales,2021-04-14,simswalter@example.net
S0258,Rodney Paul,Salesperson,Management,2023-12-15,sarahnichols@example.org
S0259,Lisa Miller,Manager,Management,2021-02-18,fkhan@example.net
S0260,Anthony Chan,Clerk,Administration,2020-12-20,peter92@example.net
S0261,Anna Mahoney,Salesperson,Administration,2021-08-11,marshallcharlotte@example.com
S0262,Michael Maddox,Salesperson,Service,2022-06-12,plong@example.com
S0263,Heather Cruz,Salesperson,Sales,2019-04-11,lancestanley@example.org
S0264,Kelsey Valdez,Clerk,Sales,2019-08-19,douglas21@example.com
S0265,Rebecca Steele,Manager,Service,2020-03-05,melissacarey@example.org
S0266,Virginia Kirby MD,Technician,Sales,2020-02-18,donaldwaters@example.com
S0267,Pamela Jenkins,Technician,Service,2023-11-17,christine60@example.org
S0268,Sara Brown,Technician,Administration,2019-06-28,tammy27@example.net
S0269,Melissa Calderon,Salesperson,Administration,2023-12-03,jacob12@example.net
S0270,Andre Garcia,Salesperson,Sales,2024-03-15,dylan85@example.net
S0271,Dustin Griffin,Manager,Service,2021-05-18,nalvarez@example.com
S0272,Sergio Taylor,Salesperson,Sales,2023-01-06,hshaw@example.org
S0273,Sarah Benitez,Salesperson,Administration,2023-11-28,thomascopeland@example.org
S0274,Stephanie Carlson,Salesperson,Administration,2019-07-21,bsantana@example.com
S0275,Bruce Hudson,Clerk,Service,2022-03-30,lewisvincent@example.org
S0276,Cindy Stewart,Technician,Administration,2020-07-21,ddaniels@example.net
S0277,Crystal Patton,Clerk,Sales,2020-04-28,michael05@example.org
S0278,Jeffrey Bowman,Salesperson,Service,2020-11-25,kgreen@example.org
S0279,Adrian Ferguson,Technician,Service,2019-09-02,qhernandez@example.net
S0280,Katie Smith,Manager,Management,2019-09-18,lambertkristina@example.net
S0281,Morgan Moore,Salesperson,Service,2019-06-30,lindadavis@example.org
S0282,Shannon Valdez,Technician,Service,2020-06-22,wweber@example.org
S0283,Alec Adams,Salesperson,Service,2021-02-02,bwilson@example.net
S0284,Amanda Garcia,Clerk,Service,2019-09-06,anthony45@example.net
S0285,Mary Small,Salesperson,Sales,2020-06-27,zvincent@example.com
S0286,Neil Hull,Technician,Administration,2020-04-19,charlesarmstrong@example.com
S0287,Tim Olson,Manager,Administration,2019-09-14,birdtracey@example.net
S0288,Christina Hall,Salesperson,Sales,2020-12-30,vbauer@example.com
S0289,Gregory Lynch,Manager,Management,2019-10-08,wbaker@example.com
S0290,Megan Richardson,Clerk,Management,2024-01-31,james33@example.net
S0291,Stephanie Garcia,Manager,Administration,2020-01-13,dcasey@example.org
S0292,William Woods,Salesperson,Service,2020-04-17,martineztyler@example.org
S0293,Autumn Lowe,Salesperson,Management,2024-03-07,tammy59@example.com
S0294,Denise Cook,Clerk,Sales,2021-08-15,dannybaker@example.org
S0295,Daniel Sanders,Technician,Administration,2022-12-22,stephaniewilson@example.com
S0296,Mathew Rodriguez,Salesperson,Administration,2023-02-18,bkelley@example.net
S0297,Corey Hernandez,Salesperson,Sales,2022-06-22,luisandrews@example.org
S0298,Emma Wilson,Clerk,Administration,2021-07-02,parksjerry@example.com
S0299,Nancy Ward,Technician,Management,2022-01-10,waltonheather@example.net
S0300,Melissa Thompson,Clerk,Administration,2020-01-10,garciasamuel@example.org
S0301,David Evans,Clerk,Administration,2020-08-12,ashleywilson@example.com
S0302,Edgar Lloyd,Technician,Sales,2021-06-28,andrewanderson@example.net
S0303,John Thomas,Technician,Sales,2020-04-30,adkinstiffany@example.net
S0304,Timothy Anthony,Manager,Management,2019-05-23,sergio40@example.com
S0305,Jennifer Gonzalez,Clerk,Administration,2021-05-17,wwilcox@example.org
S0306,Dawn Graham,Manager,Service,2024-01-19,christopher17@example.net
S0307,Kenneth Thompson,Technician,Management,2020-04-23,owenscheryl@example.org
S0308,Justin Myers,Salesperson,Service,2019-08-21,anthonychristian@example.org
S0309,Andrew Barnes,Clerk,Administration,2023-08-03,peter33@example.org
S0310,Aimee Bautista,Technician,Management,2022-09-14,christine21@example.net
S0311,Andrew Andrews,Salesperson,Service,2021-08-11,scoleman@example.net
S0312,Michelle Moore,Technician,Service,2020-07-06,jacobsharp@example.net
S0313,Karina Delgado,Manager,Management,2022-12-26,jasongriffin@example.com
S0314,Bradley Gray,Manager,Administration,2023-01-03,caitlincollins@example.net
S0315,James Coleman,Technician,Sales,2021-08-04,taylorcassandra@example.org
S0316,Chris Henry,Manager,Management,2022-08-15,kim63@example.com
S0317,Theresa Harris,Salesperson,Administration,2019-08-20,creed@example.org
S0318,Bailey Roth,Technician,Management,2023-07-24,aford@example.org
S0319,Julie Schneider,Salesperson,Sales,2024-01-22,michael14@example.com
S0320,Jared Arias,Manager,Sales,2021-01-29,hornjimmy@example.org
S0321,Robert Curtis,Technician,Management,2021-04-10,cummingsian@example.com
S0322,Kayla Miller,Clerk,Administration,2020-08-25,berrylogan@example.com
S0323,Michael Webster,Clerk,Administration,2022-08-19,joshuasampson@example.com
S0324,Kimberly Oconnell,Clerk,Sales,2021-11-28,jefferybarr@example.com
S0325,Caitlin Nielsen,Technician,Sales,2022-05-13,wilsoncourtney@example.com
S0326,Marcus Boone,Salesperson,Management,2020-01-13,ellisonteresa@example.org
S0327,Gary Martinez,Manager,Service,2020-06-03,tinadavis@example.org
S0328,Mathew Smith,Technician,Sales,2023-12-29,colontammy@example.net
S0329,Anthony Gutierrez,Clerk,Sales,2023-03-21,tonyawu@example.net
S0330,Lauren Perry,Technician,Management,2024-03-04,levi13@example.com
S0331,John Alvarez,Salesperson,Service,2022-04-12,brian43@example.net
S0332,Larry Glenn,Clerk,Management,2023-07-18,gmorgan@example.com
S0333,Valerie Johnson,Clerk,Administration,2021-01-28,david51@example.com
S0334,Brittany Bell,Manager,Administration,2023-08-24,chambersmark@example.com
S0335,Frederick Rosales,Clerk,Administration,2023-06-09,gbowen@example.com
S0336,Jennifer Parker,Clerk,Administration,2019-06-09,thompsonstephanie@example.org
S0337,Jeffery Hatfield,Clerk,Management,2023-04-20,krystallewis@example.org
S0338,Jeffery Hudson,Clerk,Sales,2022-07-08,kingalyssa@example.net
S0339,Michael Martinez,Manager,Service,2023-10-09,lrodriguez@example.com
S0340,Ariana Jones,Manager,Administration,2020-04-06,kwilson@example.org
S0341,John Brown,Manager,Administration,2021-11-28,tara99@example.net
S0342,Brian Mosley,Clerk,Management,2024-03-22,yanderson@example.net
S0343,Miss Julia Richardson,Manager,Sales,2020-07-01,crystalparks@example.net
S0344,Richard Hunter,Manager,Management,2021-07-10,marc72@example.org
S0345,Julian Gregory,Clerk,Sales,2023-06-11,jeromefrank@example.com
S0346,Jared Hines,Clerk,Management,2019-10-05,jeremyalvarado@example.com
S0347,Karen Harris,Salesperson,Administration,2019-03-31,morrisandrew@example.org
S0348,Kerri Lin,Clerk,Management,2023-06-29,hunttammy@example.com
S0349,Jason Obrien,Technician,Service,2022-03-29,wclements@example.com
S0350,Hector Wallace,Clerk,Management,2021-01-23,duranjames@example.net
S0351,Frank Miller,Clerk,Service,2024-01-22,robertroberts@example.org
S0352,Misty Reyes,Manager,Management,2023-05-06,ferrellcrystal@example.com
S0353,Donald Booth,Technician,Service,2023-09-14,gregorypacheco@example.com
S0354,Jeremiah Mitchell,Salesperson,Administration,2021-11-15,zwheeler@example.com
S0355,Michael Allen,Technician,Service,2022-03-03,michaelclark@example.com
S0356,Danielle Mclean,Clerk,Management,2020-04-25,vfernandez@example.com
S0357,Timothy Green,Salesperson,Management,2020-08-31,adamroberts@example.org
S0358,Tonya Butler DVM,Manager,Service,2019-09-14,andersonjason@example.org
S0359,Diane Burke,Salesperson,Administration,2020-01-15,john60@example.com
S0360,William White,Manager,Sales,2020-08-02,wilsonanthony@example.net
S0361,Jillian Delacruz,Clerk,Sales,2022-06-23,bjohnson@example.com
S0362,Robert Adams,Clerk,Service,2023-12-18,paynechristopher@example.net
S0363,Toni Copeland,Manager,Administration,2021-02-22,howardanna@example.net
S0364,Ian Ramirez,Clerk,Service,2020-09-23,lisa78@example.net
S0365,Deborah Morris,Technician,Service,2022-08-02,sstephens@example.net
S0366,Gregory Duncan,Clerk,Management,2022-03-01,eatonclinton@example.com
S0367,Richard Ferguson,Clerk,Management,2019-07-06,vjefferson@example.org
S0368,Anna Chavez,Clerk,Service,2021-01-02,barnesjacob@example.com
S0369,Joseph Caldwell,Manager,Management,2022-10-20,wandaschultz@example.org
S0370,Robert Coleman,Salesperson,Administration,2021-10-09,ggreene@example.com
S0371,Marcus Russell,Salesperson,Administration,2023-03-06,hgonzalez@example.net
S0372,David Gonzales,Salesperson,Administration,2022-06-21,grayanita@example.org
